spikein,1071D,1071E,1071G,1071H,1071I,1071P,1071Q,1071X,1072B,1071T,1072C,1072G,1072L,1075E,1075F,1071R,1071S,1071U,1071V,1071W,1050B,1050C,1052C,1052I,1053D,1050Q,1052O,1053K,1053L,1053M,1052E,1052F,1059A,1059H,1050F,1050J,1050M,1050N,1050O,1050P,1057A,1057B,1057D,1056E,1066D,1048H,1048I,1048K,1056G,1056H,1048N,1048R,1056A,1065B,1065D,1048E,1048J,1048L,1056I,1056K
ERCC_00078,28,52,50,53,58,15,42,56,34,37,7,17,14,20,18,46,20,17,27,46,31,41,69,13,60,80,90,54,56,52,41,29,14,23,23,16,10,23,9,21,82,48,36,64,42,97,41,38,42,46,33,11,22,33,30,22,23,28,27,28
ERCC_00079,22,34,43,48,54,20,42,55,30,29,10,24,6,11,18,46,14,14,25,30,34,36,54,21,59,82,119,59,50,48,32,24,16,23,16,27,12,21,14,19,78,45,36,33,31,85,37,29,40,41,28,22,14,22,33,14,15,24,21,19
ERCC_00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ERCC_00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ERCC_00084,20,31,31,22,31,12,36,32,23,25,6,11,7,13,13,24,6,13,21,25,15,38,34,15,37,58,65,37,26,35,27,42,9,7,8,20,17,14,6,13,50,26,37,37,19,50,40,19,31,41,23,11,14,15,31,11,20,12,29,11
ERCC_00085,3,2,2,1,2,1,0,1,1,3,2,7,3,4,3,10,5,2,9,7,1,2,2,1,2,2,7,4,4,9,13,11,3,5,1,9,4,4,3,5,5,4,0,3,3,5,1,4,3,4,7,1,5,6,7,3,3,3,3,4
ERCC_00086,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0
ERCC_00092,31,49,30,34,40,14,39,41,41,27,40,122,117,116,146,275,105,135,197,196,40,50,51,10,68,71,80,42,32,48,246,240,112,141,111,175,102,169,119,161,82,52,27,59,16,73,35,22,37,46,178,119,164,172,197,135,237,192,166,211
ERCC_00095,15,20,17,18,38,8,21,28,21,19,33,64,73,85,85,181,58,81,106,131,18,10,15,11,17,43,24,31,30,24,148,129,65,82,81,109,55,82,82,57,47,20,22,29,6,31,16,8,27,23,138,73,74,104,124,77,116,151,82,120
ERCC_00096,8938,11458,11156,9243,14057,4106,11290,12696,9416,8795,3460,7986,7681,8140,10546,19151,7266,9824,13197,14340,8762,10774,16756,6182,16086,21064,28131,14015,12958,13814,18038,16228,7390,10683,8699,11661,6869,11714,7969,10043,23668,12149,11001,15706,7056,22981,11506,7803,11777,12773,14229,8565,11149,12073,14663,8928,14129,13489,11820,12822
ERCC_00097,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2
ERCC_00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC_00099,13,16,13,21,22,5,17,22,22,16,1,15,9,10,14,20,2,16,15,18,9,12,20,15,15,27,42,24,24,33,21,11,5,14,11,13,12,6,6,16,52,12,17,19,11,21,20,14,18,20,10,9,11,12,19,8,27,26,8,14
ERCC_00104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC_00108,76,100,95,90,151,32,100,129,91,79,167,319,316,319,430,798,291,402,536,571,81,96,148,57,116,171,164,115,102,139,651,582,269,422,309,465,295,463,296,416,228,111,118,158,76,214,118,66,105,114,504,335,418,410,537,346,498,501,423,554
ERCC_00109,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1
ERCC_00111,367,499,529,371,669,178,519,610,438,392,100,217,213,238,328,662,224,296,468,449,387,509,765,248,720,956,1150,607,585,617,526,465,237,305,236,373,217,305,238,281,1036,521,455,693,325,1001,516,322,464,599,469,274,294,395,450,265,394,403,340,417
ERCC_00112,123,167,158,156,183,55,161,188,136,113,18,45,51,63,87,129,59,72,101,94,106,155,232,81,207,308,341,209,178,182,117,109,58,96,54,83,46,76,52,62,324,149,143,252,99,321,155,103,137,149,96,55,60,61,97,49,77,68,82,80
ERCC_00113,2660,3301,3211,2619,4298,1328,3417,3898,2833,2571,688,1665,1537,1670,2186,4176,1497,1954,2707,2864,2571,3207,4890,1759,4746,6202,7908,4315,4057,4038,3667,3472,1509,2184,1726,2431,1411,2302,1575,2010,6997,3406,3305,4536,2124,6393,3485,2278,3266,3688,2976,1818,2426,2527,3095,1866,2861,2819,2376,2603
ERCC_00116,27,23,22,19,37,12,20,20,16,19,26,94,72,72,84,146,61,91,121,138,15,26,32,14,32,38,44,31,28,30,151,149,60,82,60,134,65,120,85,91,41,30,26,31,11,51,26,23,24,30,109,75,121,95,125,56,128,132,123,98
ERCC_00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC_00120,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
ERCC_00123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ERCC_00126,3,2,2,1,4,0,2,5,3,5,1,2,5,0,6,4,2,1,1,6,1,2,3,2,6,4,8,2,4,3,2,3,0,1,1,1,2,1,5,3,7,4,4,7,2,3,1,0,2,5,2,2,6,2,4,3,3,1,2,3
ERCC_00130,3299,4001,3775,3340,5192,1569,3781,4585,3115,2927,4933,11704,11492,11601,14625,26561,10458,14115,18585,20501,2949,3914,5780,2138,5159,7280,9433,5078,4694,4822,23578,21598,10238,14239,12565,17295,10210,16570,11570,13403,8765,4231,3873,5572,2697,7452,4079,2751,4176,4373,21008,13328,15305,17173,20181,13967,22426,20127,15889,17535
ERCC_00131,7,16,13,11,20,8,12,23,8,10,19,46,37,38,67,112,32,62,81,73,10,14,37,7,22,40,36,22,19,21,105,94,61,57,49,73,53,70,34,57,28,25,13,21,7,24,19,10,20,23,98,45,46,71,70,39,78,74,73,69
ERCC_00134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,1,0,0,0,1,0
ERCC_00136,239,279,259,250,359,115,310,357,214,191,381,823,786,776,1015,1964,725,1014,1364,1456,191,242,372,164,289,454,484,335,345,278,1556,1439,696,917,790,1163,669,1070,829,883,582,328,275,360,200,482,263,169,236,283,1350,855,958,1118,1399,856,1483,1350,1069,1226
ERCC_00137,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,0,1,0,0,0,0,3,0,1,1,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
ERCC_00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ERCC_00142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
